place,info,문의 및 안내,주소,이용시간,휴일,주차,판매 품목,접근로,출입통로,보조견 동반,review,홈페이지,이용가능시설,시설이용료,주차 요금,이용요금,체험프로그램,부대시설,화장실,체험 프로그램,입장료,체험가능 연령,수용인원,장애인 주차 안내,엘리베이터,"영유아가족
기타상세",유도안내 설비,주요시설,대여안내,점자 블록,수유실,유모차,규모,안내 요원,지정현황,지체장애 기타 상세,유아용보조의자,대중 교통,주차요금,휠체어,점자 홍보물,오디오 가이드,예약안내 홈페이지,관람석,보유장비,강습안내,입점브랜드,시각장애 기타상세,객실,코스안내,자막 비디오 가이드,수화 안내
도림사(대구),"도림사는 대한불교 조계종 제12교구 본사 해인사의 말사로서 대구지역의 포교를 목적으로 세워진 대표적인 사찰이다. 이 사찰은 대구의 팔공산 동남쪽 감투봉 아래 위치하고 있으며, 편에는 갓바위 약사여래부처님과 동화사, 파계사 등이 줄지어 서있는 팔공산맥을 마주하고 있다. 1997년 2월 3일 대구시 동구 진인동 팔공산 감투봉 아래 선종가람 서광사로 대한불교조계종에 등록하였으며, 2004년 12월 15일 창건주인 도림 법전스님의 호를 사명으로 개칭하여 도림사로 불리게 되었다. 도림사에서는 당일형, 체험형, 휴식형의 템플스테이를 진행하고 있다.",,대구광역시 동구 인산로 242 (진인동),상시 개방,연중무휴,"가능
요금 (무료)",,,,,"도림사 규모가 좀 있어서 사찰, 갤러리, 여러 동상도 있고 공원, 산책로같이 둘러볼 곳도 많고 쉴수있는 공간도 많고 템플스테이도 하는 사찰이어서 쉼도 가능한 곳이더라구요. 전망도 좋았어요 주변 공사로 더욱 웅장해졌어요 아주 넓고 볼거리가 많아 좋았어요",http://www.dorimsa.co.kr,,,,,,,있음,템플스테이,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
리조트 스파밸리 네이처파크,"네이처파크는 12만 평 부지의 식물원 내 초대형 글라스 하우스 동물원과 방사형 야외 동물원으로 구성되어 있다. 50여 종, 300 마리 이상의 동물, 350여 종의 수목, 100여 종 이상의 다양한 꽃들이 공존하는 전국 최초의 교감형 생태동물원이다. 네이처파크의 실내동물원은 동물의 원래 생활환경을 그대로 조성하여 동물들이 자연 속에서 본래의 행동을 하게 구성되어 있다. 버드가든과 다람쥐빌리지에서는 흑고니와 공작새, 토끼, 다람쥐 등의 동물들을 만날 수 있다. 동물에게 먹이를 주며 진정한 교감을 이룰 수 있는 체험도 진행하고 있다.",,대구광역시 달성군 가창면 가창로 891,"10:00~18:00
※ 이용시간은 우천이나 현장상황에 따라 변경될 수 있음","매주 화요일
※ 단, 공휴일 제외","가능
요금 (무료)",,,,,"주차 공간이 부족할 경우 임시 주차장도 운영하고, 임시 주차장까지 셔틀버스를 운행하고 있었습니다.생각보다 경사가 많은 편이라 아이들이 힘들어할 수 있고요, 자유롭게 다니는 동물들을 가까이에서 볼 수 있어 너무 신기했습니다.동물들과 사진도 많이 찍고, 신나게 먹이도 주고, 예쁜 정원에서 꽃들을 보며 힐링도 하며 가족도 좋은 추억을 만들고 왔습니다. 동물 가까이에서 볼수 있어서 좋아요 동물을 가까이서 볼 수 있어서 좋았습니다. 먹이주기 체험도 하고, 동물 종류도 다양해서 주변을 둘러보는데 힘들지 않더라구요. 다른 동물원보다는 동물들이 지내는 환경이 쾌적해보여서 관람하기도 좋았습니다. 다양한 종류의 동물들이 있고, 산책로 따라 공작새들이 자유롭게 다니는걸 볼 수 있어서 넘 좋았어요. 동물들을 가까이서 볼 수 있는 곳이죠^^ 생각보다 공간이 넓고 조경을 잘해놓아서 자연 속에 머물다가는 느낌을 많이 받았어요! 공작새가 그냥 돌아다니는 자연친화적인 동물원입니다~ 다양한 동물이 많았고 중간중간 쉴 수 있는 공간도 꽤 많아요 아이들이 무엇보다 엄청 좋아합니다^^ 포토존도 많습니다ㅎㅎ 추천해요 대구 도심에 규모가 큰 동물원이여서 하루종일 구경하기 좋았던것 같아요! 계절마다 행사도 하고 겨울철에는 스파밸리 워터파크대신 체험할 수 있는 공간을 만들어 너무 재미있게 놀았던것 같아요! 실외 매점은 자석이 규모에 비해 적어 불편하기는 했는데 다양한 동물과 식물을 한곳에서 볼수있어 아이들이 너무 좋아했답니다 이모집에 놀러왔다가 근처에 갈만한데 검색하다 네이처파크를 알게되었어요~ 부모님이 동물을 좋아하셔서 같이 다녀왔는데 넘 좋아하시네요~ 다양한 포토존도 많고 동물들과 교감할 수 있어서 아이있는 분들은 아이들과 같이 오면 좋을 것 같아요! 그리고 12월에 입장료도 할인하고 있어서 네이버로 저렴하게 구매하고 오시면 될 것 같아요~ 동물들 먹이체험도 할수있고 포토존 스팟도 많아요 새들은 그냥 풀어놔서 먹이주면 따라오기도 하는데 깜짝 놀랬어요 푸드는 다양하지않아서 도시락싸오던지 미리 든든히 먹고 오는걸 추천합니다",http://www.spavalley.co.kr/naturepark/,실내동물원 / 버드가든 / 다람쥐빌리지 / 플라워가든 / 플레이가든 / 식당 / 카페 / 연회장,,,,,,있음,,"- 대인(중학생 이상) 20,000원
- 소인(24개월이상~초등학생) 18,000원
※ 이용요금은 변동될 수 있으므로 홈페이지 참고",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
아르떼수성랜드,"아르떼 수성 랜드는 대구 최초의 놀이공원으로 수성구 상동에 자리 잡고 있다. 어린이들이 즐길 수 있는 12종류의 놀이 기구와 실내 아이스링크, 동물 먹이 주기 체험이 가능하고 제기차기, 팽이, 투호 던지기 등의 민속놀이도 할 수 있다. 비행기 카페, 전망대 가든, 바비큐 공간 등 다양한 시설을 별도로 갖춰 놓았고 피크닉 가든에서는 스몰 웨딩과 야외 웨딩, 돌잔치 회갑잔치, 기업행사나 체육대회를 할 수 있다. 시즌별로 다양한 문화 행사를 기획 중이고 체험이 가능한 목공예, 도예, 가죽공예, 식물공예, 켈리그라피 공방도 운영한다.",,대구광역시 수성구 무학로 42 (상동),시설별 상이하므로 홈페이지 참조 요망,매주 월요일 (월요일이 공휴일인 경우 그 다음 평일에 휴장),가능 (약 200대),,,,,,https://suseongland.co.kr/,수성못전망대 / 바베큐장,,,,,,가능 (3개동 (남 25칸 / 여 25칸)),"공예체험 (도예, 가죽, 캘리그라피, 바느질)","입장 3,000원
입장+놀이1종 6,500원
입장+놀이3종 12,000원
입장+놀이5종 17,000원
아이스링크 대인 10,000원
아이스링크 소인 8,000원
※ 이용요금은 변동될 수 있으므로 홈페이지 참조 또는 전화 문의 요망",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
엘리몽,"프리미엄 키즈파크 엘리몽은 다양한 테마시설로 아이들에게 즐거운 놀이문화를 전하는 대구 최대규모의 복합문화놀이공간이다. 800평대 규모의 초대형 공간이라 아이들이 마음껏 뛰어놀 수 있다. 엘리몽에는 30여 종의 다양한 테마시설과 콘텐츠, 휴게공간, 푸드코너 등 다양하고 깔끔한 시설공간으로 구성되어 있다. 또한 63m의 대구 최장거리의 레이싱카트를 아이들이 직접 운전하면서 스릴 넘치는 레이싱을 안전하게 즐길 수 있다.",,대구광역시 달서구 조암로 38 (월성동) 3층,10:00~20:00,연중무휴,"가능 (약 270대)
요금 (무료)",,,,,,http://www.elybaden.com/elymong/,,,,,,,있음,,"- 어린이(24개월~초등학생) 20,000원
- 성인 9,000원
- 12개월 이하 무료
※ 이용요금은 변동될 수 있으므로 홈페이지 참조 또는 전화 문의 요망","- 레이싱카트 6세 미만 아동은 보호자 동반 이용
- 짚라인 만 5세 이상~만 12세 이하 / 키 110㎝ 이상 몸무게 50㎏ 이하",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
화원자연휴양림,"화원자연휴양림은 대구시 달성군 화원읍에 자리 잡고 있다. 관리사무소 앞으로 피크닉장이 있고 그 주변으로 맑은 계곡이 흐르고 있어 물놀이하기에 좋다. 숙박시설인 산림문화 휴양관과 숲속의 집이 있는데 숲속의 집이 계곡과 가깝다. 산림욕장과 함께 유아 숲 체험장, 전망데크, 족구장, 피크닉장 등을 갖추고 있다. 휴양림은 화원 옥포 IC와 가까워 접근성이 좋고 주변으로 비슬산이 있어 경관이 뛰어나고 달성군민에게는 할인 혜택이 있다. 휴양림 보호 차원에서 숯불 사용은 금지하고 있다.",,대구광역시 달성군 화원읍 화원휴양림길 126,15:00~24:00,연중무휴,가능,,,,,휴양림을 많이 다녀봤는데 이렇게 청결하고 조용하고 물소리가 아름답게 들리는 화원휴양림매력에 퐁당빠졌습니다 뚜벅이를 위해 차량운행도 해주셔서 편리하기도하더라구요,https://www.foresttrip.go.kr/,"산림문화 휴양관
19인용: 두루미
5인용: 꽃사슴, 다람쥐, 산토끼, 고라니, 반달곰, 오소리, 청솔모, 산양

숲속의 집
9인용: 솔나리, 꽃창포, 할미꽃, 제비꽃
12인용: 금난초, 은난초","[숲속의집]
- 100,000원~200,000원
[산림문화휴양관]
- 60,000원~240,000원
※ 이용요금은 변동될 수 있으므로 홈페이지 참조 또는 전화 문의 요망",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
김수환 추기경 사랑과 나눔공원,"김수환 추기경 사랑과 나눔공원은 김수환 추기경의 어린 시절 가족과 함께 살던 집을 복원해 놓은 곳으로, 초가삼간 옛집의 모습은 좁은 툇마루, 낮은 처마가 정감을 더해주는 소박한 느낌이다. 한국 최초의 추기경이며 종교와 관계없이 많은 사람에게 존경받는 역사적인 인물이지만 어린 시절엔 작은 초가집에서 태어나고 자랐다는 것을 보여주고 있다. 입구에는 옹기 가마터가 있고 평화의 숲과 십자가의 길이 있는 사랑과 나눔의 공원과도 이어져 있다. 추기경의 삶과 정신을 회고해 볼 수 있는 의미 있는 공간으로 가까이 이어진 기념관에는 추기경님의 조형물과 함께 살아온 역사, 사제복 등도 직접 볼 수 있게 꾸며져 있다.",,대구광역시 군위군 군위읍 용대리238-7,"- 하절기(3월~10월) 09:00~18:00
- 동절기(11월~2월) 09:00~17:00
※ 점심시간 12:00~13:00",연중무휴,"가능
요금 (무료)",,,,,"군위에서 열렸던 사랑과나눔축전때 미술대회 참가로 방문했어요 보통 사람들 보다 적게 소유하고 많이 베풀고 사셨던 추기경님의 기념관이다보니 볼거리는 많지 않지만, 내외부 모두 정갈하게 꾸며져있어서 종교를 떠나 한 사람의 발자취를 느껴볼 수 있어서 좋았습니다 기념관 내부에 따스한 추기경님 동상을 안아본 경험을 아이가 가장 좋아했어요 전 종교는 없지만 추기경님의 고귀한 삶을 잠시나마 느낄수 있는 소중한 공간인것 같습니다 김수환추기경님의 뜻을 기리고 기도 드리기 위해 방문 ... 뜨거운 날이었지만 십자가의길을 바치며 큰어른이셨던 그분을 기억하고 그 정신을 이어나가길 기도했습니다 마음이 따뜻해지는곳",http://www.cardinalkim-park.org/,김수환 추기경 생가 / 추모정원 / 경당 / 기념관 등,,,,,,,,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2·28 기념중앙공원,"2·28 기념중앙공원은 2·28 학생 민주의거를 기념하여 만든 공원이다. 2003년 6월 조성되었으며, 면적은 14,354㎡이다. 1960년 일어난 2·28 학생 민주의거는 부패한 이승만 자유당 정권에 항거하여 대구에서 일어난 학생 민주화운동으로 3·15 마산의거, 4·19 혁명으로 이어져 이승만 정권을 물러나게 만든 기폭제가 되었다. 공원 부지는 예전에 대구중앙초등학교가 있었던 곳으로, 2·28 의거의 자취가 어려 있는 곳이다. 공원에는 반원형 조형물에서 뿜어져 나오는 중앙 분수대, 조명이 설치된 3개의 분수대가 있다. 아울러 산책로, 인공 실개천, 90여 점의 의자, 김윤식 시인의 시비 등이 조성되어 있다. 무엇보다 28종의 나무 1,000여 그루, 20여 종의 관목류, 초화류 3만여 본, 잔디가 심겨 있어 도심 속 녹색공간으로서 쾌적한 휴식처를 제공한다.",,대구광역시 중구 동성로2길 80 (공평동),상시 개방,연중무휴,불가능 (인근 공영주차장 이용),,,,,"공원이 공사가 끝나고 넓은 광장공원이 되었습니다 탁트였고 근처에 스파크랜드있으니 들렀다가는 것도 좋을 것 같습니다. 날씨 좋을때요~ 대구 파워풀축제 즐기며 2.28공원에서 먹고 구경하고 재밌었어요, 예전보다 덜 활기찬거 같았지만? 그래도 축제는축제네요❤︎ 비누방울쇼랑 퍼레이드는 애가 보고 좋아서 박수치고 재밌었어요 시내 근처라 만남의 장소로도 많이 사용되는거 같아요. 처음 가시면 길따라 한바퀴 둘러봐도 괜찮을거 같아요. 주변에 지하 주차장있어요.",citypark.dgsisul.or.kr,,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
비슬산숲속오토캠핑장,"비슬산 숲속 오토캠핑장은 대구광역시 달성군 유가면에 있다. 대구광역시 달성군청을 기점으로 김흥2터널과 산성지하차도를 차례로 거쳐 도착까지 걸리는 시간은 30여 분이다. 캠핑장은 물 맑고 공기 좋은 비슬산자연휴양림 내에 있어서 산행이나 삼림욕을 겸할 수 있다. 이곳은 카라반 20대와 일반캠핑장 24면을 갖췄다. 카라반은 총 3종류인데, 크기만 다를 뿐 내부 구비 물품은 동일하다. 내부에는 침대, TV, 취사시설, 화장실, 샤워실 등이 있다. 외부에는 햇빛이나 비를 막아주는 어닝을 설치했고, 어닝 아래 목재 데크에는 바비큐를 즐길 수 있게 설비해놓았다. 일반캠핑장 사이트 곳곳에 심은 나무는 시원한 그늘을 만들어 준다. 캠핑장 자체가 비슬산 자연휴양림 내에 위치한 덕분에 다른 관광지를 찾아 발품 팔 필요가 없다. 자동차로 10분 거리에 음식점도 많다.",,대구광역시 달성군 유가읍 일연선사길 99,15:00 ~ 익일 12:00,,가능,,,,,,https://www.dssiseol.or.kr/pages/main/index_real.html,,,,"캠핑 15,000원~40,000원
카라반 60,000원~140,000원
콘도 60,000원~160,000원
수련관 50,000원~200,000원
통나무집 60,000원~180,000원
※ 이용요금은 변동될 수 있으므로 홈페이지 참조 또는 전화 문의 요망",,"전기, 온수, 물놀이장, 놀이터, 운동시설",가능,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
대구 환경사랑홍보교육관,"대구환경사랑홍보교육관은 2000년 3월에 개관하였으며, 2021년 체험형 전시관으로 리뉴얼 후 재개관하였다. 기후대기, 물환경, 자원순환, 생활환경, 생태복원, 미래직업체험(VR체험) 등 다양한 콘텐츠로 구성되어 있으며, 체험형 전시물로 즐겁고 신나게 배울 수 있는 환경교육 체험학습공간이다. 또한, 관람객 연령별 눈높이에 맞춘 다양한 환경체험 프로그램 개발로 국민들의 환경교육과 정보에 대한 접근을 용이하게 하여 환경보전의식을 공유하고 생활 속 실천 중심 체험교육으로 지역을 대표하는 환경교육전문학습관이 되고자 한다.",,대구광역시 달서구 성서공단로 40 한국환경공단 대구경북환경본부,"- 1회 10:00~11:30
- 2회 13:00~14:30
- 3회 14:30~16:00",주말 / 공휴일,가능,,,,,,https://www.keco.or.kr:7979/ecolove,,,무료,무료,우리 동네 환경테마 스탬프 투어 / K-eco ESG환경놀이터,,,,,,회차별 80명,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
성당못,"성당못 일대를 옛날에는 성댕이, 상댕이라고 불렀다. 그러다가 1910년대부터 성당동이라고 불렀는데, 이 시기부터 동네 이름을 따서 성당못이라고 불렀다. 성당못이 있던 자리는 조선 중엽 채 씨 성을 가진 판서가 살던 집터였는데, 장차 임금이 태어날 명당이라 하여 나라에서 집을 짓지 못하도록 연못을 만든 것이 오늘날의 성당못이 되었다. 성당못에는 인근 두류산의 정기를 받을 수 있다고 전해지는 두리길이 있다. 산책 삼아 걷기 좋아 많은 사람이 찾는다.

*사진 출처: 대구광역시청",,대구광역시 달서구 공원순환로 216 (성당동),,,있음,,,,,"성당못 걷기코스 잘 되어 있고, 요즘 후덥지근한 날씨인데도 시원한 바람이 불어 벤치에 앉아 있으면 너무 좋습니다. 오늘도 성당못에 가서, 벤치에 앉아 시원한 바람 맞으며 멍때리다 왔습니다. 고즈넉한 분위기에 산책 코스가 잘 돼있어 아이 데리고 가기도 좋고 혼자 사색하며 걷기에도 너무 좋은 곳이에요. 주변 카페에서 커피 한 잔 사서 벤치에 앉아 책 읽는 것도 추천드려요. 공기좋은날 산책하고 커피한잔 넘 좋아요 문화예술회관도 있구 산책하기도좋구 주변에 커피숍도있어서 추천드립니다^^ 산책하기좋구 애들 놀기도좋구 문화예술회관도있어서 좋은거같아유^^ 산책로가 새로 생기고 좋아요 못 주변 산책하고 바로 앞 커피숍에서 커피 한잔 그리고 문화예술회관에서 예술 감상까지 너무 좋네요",https://www.dalseo.daegu.kr/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
원대신시장,"원대신시장은 대구 지하철 3호선 원대역과 원대오가리 인근에 있다. 1976년에 문을 열었으며, 41개의 점포로 이루어진 자그마한 소형시장이다. 천장에 아케이드를 조성하여 계절이나 날씨에 관계없이 언제나 장 보기에 나설 수 있다. 시장에는 각종 먹거리를 비롯해 채소류, 생선류, 육류, 의류, 생활용품 등을 파는 상점이 들어찼다.",,대구광역시 서구 달서로54길 6 (원대동3가),점포별 상이,점포별 상이,가능 (유료),"각종 먹거리, 채소류, 생선류, 육류, 의류, 생활용품 등",출입구까지 턱이 없어 휠체어 접근 가능함,주출입구는 턱이 없어 휠체어 접근 가능함_무장애 편의시설,동반가능_시각장애인 편의시설,시장이 커서 웬만한건 다 있어요~ 먹거리부터 장볼거리 간식거리까지 다 해결가능해요 ㅎㅎ 붕어빵도 맛있고. 둘러보면서 중간에 어묵도 먹고 식혜도 먹고 했습니다. 작은 시장과 다르게 규모가 크고 천장에 돔형식으로 되어있어 비 피하면서 장보기도 좋아요. 원대역에서 한코스 더 가면 팔달시장도 있는데 여기도 깔끔하고 넓고 좋습니다,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
새길시장,"대구 서구 내당동에 위치한 새길시장은 1970년대 개설된 65개 점포로 이루어진 소규모 시장이자 상가주택복합형 시장이다. 작은 시장이지만 채소, 분식, 각종 곡류, 고기 등 다양한 먹을거리들이 있는 시장이다. 새길시장의 먹거리로는 두루치기와 불고기 등이 있으며, 특히 두루치기 맛이 좋기로 소문이 자자하다. 시장은 아침 7시에 영업을 시작하여 저녁 8시에 문을 닫는다. 인근 관광지로는 반고개 무침회골목, 서문시장, 달성공원, 이월드 등이 있다.",,대구광역시 서구 달서로4길 17-7 (내당동),07:00 ~ 20:00 (점포별 상이),점포별 상이,불가,"곡물, 채소, 어류 등",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
대평리시장,"대평리시장은 1981년 개설되었고, 시장의 규모는 중형으로 상가건물형으로 이루어져 있다. 각각의 상점에서는 곡물, 정육, 채소, 과일, 어류, 떡, 분식, 잡화, 의류 등을 팔고 있다. 시장 안에는 인근 주민들이 힘을 합쳐 만든 행복을 부르는 벽화길이 있다. 이 덕분에 벽화를 감상하며 장보기를 할 수 있는 재미를 누릴 수 있다.
*사진 출처: 대구광역시 서구청 공식 블로그",,대구광역시 서구 문화로49길 25 (평리동),점포별 상이,점포별 상이,불가,"곡물, 정육, 채소, 과일, 어류, 떡, 분식, 잡화, 의류 등",출입구까지 턱이 없어 휠체어 접근 가능함,주출입구는 턱이 없어 휠체어 접근 가능함_무장애 편의시설,동반가능_시각장애인 편의시설,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
충혼탑,"충혼탑은 한국전쟁 당시 조국 수호를 위해 산화한 대구 출신 호국영령의 영현을 모신 공간이다. 탑은 원래 1958년 5월 대구 수성구 두산동 수성못 옆에 건립했다. 하지만 규모가 작고 장소가 부적합하여 1971년 4월 대덕산 기슭에 탑신 30m, 둘레 9m인 충혼탑을 재 건립하게 되었다. 이후 2017년 6월 리모델링 공사로 기존 충혼탑 내 낡고 좁은 위패 봉안실을 충혼탑의 좌우에 석재로 신축하여 장중한 추모공간으로 새롭게 단장하였다.",,대구광역시 남구 앞산순환로 540,상시 개방,연중무휴,"가능
요금 (무료)",,주 출입구 경사로 완만함,,보조견 동반 가능,,,,,,,,,"자동문 휠체어가 충분히 들어갈 수 있는 공간 소변기, 대변기, 세면대 손잡이 있음 대변기 등받이 있음 유아용 보호의자 있음 호출벨 있음",,무료,,,장애인 주차장 있음 (5면),장애인 이용가능 승강기 있음 (운행시간 08:30 ~ 06:00),화장실 내 기저귀 교환대 있음,경사로 핸드레일 점자 표시 있음,,,,,,,,,,,,,,,,,,,,,,,,,
블루마운틴,"블루마운틴은 대구광역시 동구에 자리했다. 대구광역시청을 기점으로 대구국제공항 방면으로 달리다 공산터널을 거치면 나온다. 도착까지 걸리는 시간은 40분가량이다. 이 캠핑장은 영남 지역의 명산이라 부르는 팔공산 인근에 있어서 사계절 언제나 아름다운 풍경을 만날 수 있는 곳이다. 이곳에는 크기가 다른 세 가지 종류의 글램핑 6개 동과 카라반 1대가 있다. 글램핑과 카라반 객실 내부에는 TV, 침구류, 냉난방기 등 일상생활이 가능할 정도의 물품을 갖췄다. 화장실과 샤워실은 카페 건물관리건물을 이용해야 한다. 객실 외부에는 전용 데크와 함께 바비큐가 가능한 숯불테이블을 배치했다. 숯불과 그릴은 비용을 내면 저녁 9시까지 대여해 주는데 객실 밖 숯불테이블과 바비큐장에서만 조리가 가능하다. 나머지 장소에서는 조리 금지이고 캠핑장 내 흡연은 금지, 주차장 내에 마련된 흡연구역에서만 가능하다. 반려동물은 입장이 불가하고 객실에서 촛불, 폭죽, 휴대용 가스버너의 사용을 금한다. 나름 유명한 구내 카페 ‘블루마운틴’에서는 모닝빵, 우유, 커피를 제공하는 조식 서비스도 운영 중이다. 캠핑장 주변에는 천년고찰 은해사를 비롯해 골프를 즐길 수 있는 팔공 CC 등 관광지가 즐비하다. 오리 전문점과 더덕 요리 전문점 등 맛집도 많다.",,대구광역시 동구 능성동 산 47-1,14:00~익일 11:00,연중무휴,가능,,,,,,http://bluemauntain.itrocks.kr/,,,,"140,000원~190,000원
※ 이용요금은 변동될 수 있으므로 홈페이지 참조 또는 전화 문의 요망",,"전기,무선인터넷,온수,놀이터,운동시설",가능,,,,,,,,,소화기:9,,,,,,,,,,,,,,,,,,,,,,,,
점새늪연꽃생태공원,"점새늪연꽃생태공원은 대구 지하철 1호선 안심역에서 10분 정도의 가까운 거리에 위치하며, 인근에 연 갤러리와 금강역 레일카페 등 문화 및 휴식공간이 다양하게 마련되어 있다. 또한 2017년 7월에 제1회 안심창조밸리 연꽃 축제가 열려 많은 사람이 다양한 종류의 연꽃을 볼 수 있어 생태문화 체험과 관광을 즐길 수 있는 명소가 되었다. 공원에는 야간 경관조명, 데크로드 등의 시설이 있다.",,대구광역시 동구 대림동 378-1,상시 개방,연중무휴,가능 (약 10대),,출입구까지 턱이 없어 휠체어 접근 가능함,주출입구는 턱이 없어 휠체어 접근 가능함_무장애 편의시설,동반가능_시각장애인 편의시설,철새들의 소중한 보금자리 대구 안심습지. 겨울만되면 수많은 철새들의 군무를 즐길 수 있는 소중한 생태공원,https://dong.daegu.kr/main.do,,,,,,,,금강역 레일카페 / 연 갤러리 / 연 생태관 / 연꽃 터널 / 연꽃생태공원 등,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
낙동강레포츠밸리강변오토캠핑장,"낙동강 레포츠밸리 강변 오토캠핑장은 대구광역시 달서군 구지면에 자리했다. 대구광역시 달성군청을 기점으로 포산고 사거리와 국가산단북로를 거치면 닿는다. 도착까지 걸리는 시간은 20분 안팎이다. 캠핑장은 낙동강 바로 앞에 위치했다. 이 덕택에 수려한 자연경관이 한눈에 담긴다. 더욱이 지척에 수상레저 지원센터가 있어 여름철 물놀이를 즐기기에 안성맞춤이다.
오토캠핑장 29면이 마련되어 있고, 사이트 크기는 가로 7m 세로 8m로 널찍하며, 파쇄석으로 이뤄졌다. 개인 트레일러와 개인 카라반도 출입할 수 있다. 어린이를 위한 트램펄린이 설치되어 있고, 어느 사이트에서 접근하든 가까운 거리에 있는 개수대, 카라반 모양의 화장실, 관리소 건물에 마련한 샤워장 등은 깔끔하게 관리되고 있다. 캠핑장 주변에 비슬산 자연휴양림, 개경포 공원 등의 관광지가 있으며, 60여 년간 대를 이어 곰탕만을 만드는 곰탕집도 근처에 있다.",,대구광역시 달성군 구지면 구지서로 199,14:00~익일12:00,없음,주차가능,,,,,,http://www.dssiseol.or.kr/pages/sisul/page.html?mc=0635,,,,"20,000원~30,000원
※ 이용요금은 변동될 수 있으므로 홈페이지 참조 또는 전화 문의 요망",,"전기,무선인터넷,장작판매,온수,트렘폴린,운동시설,마트.편의점",가능,,,,,,,,,"안전시설 설비사항
소화기:7","퇴실이 지연될 경우 시간 당 10,000원의 추가요금",,,,,,,,,,,,,,,,,,,,,,,
방촌종합시장,"방촌 종합시장은 상가건물형 시장이다. 시장 천장에는 아케이드를 설치해 날씨에 관계없이 연중 장보기에 나설 수 있다. 시장에는 각종 먹거리를 비롯해 채소류, 생선류, 육류, 의류, 생활용품 등을 파는 상점이 들어찼다. 특히 이곳의 명물은 떡볶이로, 시장 내부에 떡볶이 골목이 자리 잡고 있다.
*사진 출처: 대구시 동구청",,대구광역시 동구 동촌로46길 2 (방촌동),상점별로 다름,상점별로 다름,가능,"각종 먹거리, 채소류, 생선류, 육류, 의류, 생활용품 등",출입구까지 턱이 없어 휠체어 접근 가능함,주출입구는 턱이 없어 휠체어 접근 가능함_무장애 편의시설,동반가능_시각장애인 편의시설,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
